"X","Individual","Mode","Choice","Airport","DistSYR","DistALB","DistNYC","DistEWR","SafteyPersonal","SafteyTrainBus","SafteyCarpool","SafteyTaxi","SafteySharedTaxi","SafteyCS","SafteySCS","PrivacyPersonal","PrivacyTrainBus","PrivacyCarpool","PrivacyTaxi","PrivacySharedTaxi","PrivacyCS","PrivacySCS","ConviniencePersonal","ConvinienceTrainBus","ConvinienceCarpool","ConvinienceTaxi","ConvinienceSharedTaxi","ConvinienceCS","ConvinienceSCS","TimePersonal","TimeTrainBus","TimeCarpool","TimeTaxi","TimeSharedTaxi","TimeCS","TimeSCS","flightsYear","daysBreturn","luggage","ownVehicle","incomeB","familySize","ageB","shuttleMaxPersonsB","payUticaSYR","payUticaALB","CostPersonal","CostTrainBus","CostCarpool","CostTaxi","CostSharedTaxi","CostCS","CostSCS","Choice.1","Airport.1"
1,1,"Carpool",1,1,50,77,277,245,10,9,9,8,8,8,8,10,8,9,8,8,8,8,10,8,10,8,8,9,8,"10000","13000","10000","11500","12000","11500","11500",1,3,1,1,10,4,20,10,10,10,"","","","","","","",0,1
2,1,"Personal",0,1,50,77,277,245,10,9,9,8,8,8,8,10,8,9,8,8,8,8,10,8,10,8,8,9,8,"10000","13000","10000","11500","12000","11500","11500",1,3,1,1,10,4,20,10,10,10,"","","","","","","",0,1
3,1,"TrainBus",0,1,50,77,277,245,10,9,9,8,8,8,8,10,8,9,8,8,8,8,10,8,10,8,8,9,8,"10000","13000","10000","11500","12000","11500","11500",1,3,1,1,10,4,20,10,10,10,"","","","","","","",0,1
4,1,"Taxi",0,1,50,77,277,245,10,9,9,8,8,8,8,10,8,9,8,8,8,8,10,8,10,8,8,9,8,"10000","13000","10000","11500","12000","11500","11500",1,3,1,1,10,4,20,10,10,10,"","","","","","","",0,1
5,2,"Carpool",1,3,40,80,300,350,8,8,7,7,7,7,7,10,5,8,7,5,7,5,10,6,8,4,4,6,6,"04500","10000","04500","04500","04500","04500","04500",0,7,2,1,10,3,20,15,15,10,"15","10","0","30","15","40","20",0,3
6,2,"Personal",0,3,40,80,300,350,8,8,7,7,7,7,7,10,5,8,7,5,7,5,10,6,8,4,4,6,6,"04500","10000","04500","04500","04500","04500","04500",0,7,2,1,10,3,20,15,15,10,"15","10","0","30","15","40","20",0,3
7,2,"TrainBus",0,3,40,80,300,350,8,8,7,7,7,7,7,10,5,8,7,5,7,5,10,6,8,4,4,6,6,"04500","10000","04500","04500","04500","04500","04500",0,7,2,1,10,3,20,15,15,10,"15","10","0","30","15","40","20",0,3
8,2,"Taxi",0,3,40,80,300,350,8,8,7,7,7,7,7,10,5,8,7,5,7,5,10,6,8,4,4,6,6,"04500","10000","04500","04500","04500","04500","04500",0,7,2,1,10,3,20,15,15,10,"15","10","0","30","15","40","20",0,3
9,3,"Carpool",1,1,200,66,113,102,10,6,5,7,5,7,7,10,5,7,5,5,6,6,10,4,8,5,4,9,8,"04500","10000","04500","04500","04500","04500","04500",6,7,1,1,10,4,20,15,15,30,"15","35","10","40","40","40","20",0,1
10,3,"Personal",0,1,200,66,113,102,10,6,5,7,5,7,7,10,5,7,5,5,6,6,10,4,8,5,4,9,8,"04500","10000","04500","04500","04500","04500","04500",6,7,1,1,10,4,20,15,15,30,"15","35","10","40","40","40","20",0,1
